"","name","latitude","longitude","start.station.id"
"1","Pershing Square North",40.751873,-73.977706,519
"2","West St & Chambers St",40.71754834,-74.01322069,426
"3","Broadway & E 22 St",40.7403432,-73.98955109,402
"4","E 17 St & Broadway",40.73704984,-73.99009296,497
"5","12 Ave & W 40 St",40.76087502,-74.00277668,514
"6","8 Ave & W 31 St",40.75058535,-73.99468482,3255
"7","W 18 St & 6 Ave",40.73971301,-73.99456405,168
"8","Broadway & W 60 St",40.76915505,-73.98191841,499
"9","W 33 St & 7 Ave",40.75019995,-73.99093085,492
"10","Christopher St & Greenwich St",40.73291553,-74.00711384,358
"11","Broadway & E 14 St",40.73454567,-73.99074142,285
"12","South End Ave & Liberty St",40.711512,-74.015756,3002
"13","W 20 St & 11 Ave",40.746745,-74.007756,459
"14","Lafayette St & E 8 St",40.73020661,-73.99102628,293
"15","Carmine St & 6 Ave",40.73038599,-74.00214988,368
"16","8 Ave & W 33 St",40.751551,-73.993934,490
"17","W 31 St & 7 Ave",40.749156,-73.9916,379
"18","Broadway & W 29 St",40.7462009,-73.98855723,486
"19","1 Ave & E 16 St",40.73221853,-73.98165557,504
"20","W 41 St & 8 Ave",40.75640548,-73.9900262,477
"21","W 22 St & 10 Ave",40.74691959,-74.00451887,462
"22","W 38 St & 8 Ave",40.75466591,-73.99138152,523
"23","E 24 St & Park Ave S",40.74096374,-73.98602213,491
"24","E 13 St & Avenue A",40.72966729,-73.98067966,3711
"25","Cleveland Pl & Spring St",40.72210379,-73.99724901,151
"26","W 25 St & 6 Ave",40.74395411,-73.99144871,466
"27","University Pl & E 14 St",40.73492695,-73.99200509,382
"28","Washington St & Gansevoort St",40.739323,-74.008119,405
"29","Greenwich Ave & 8 Ave",40.73901691,-74.00263761,284
"30","W 22 St & 8 Ave",40.74475148,-73.99915362,453
"31","Cooper Square & Astor Pl",40.72951496,-73.9907527,3263
"32","Broadway & W 25 St",40.74286877,-73.98918629,3641
"33","W 20 St & 7 Ave",40.74238787,-73.99726235,334
"34","Central Park S & 6 Ave",40.76590936,-73.97634151,2006
"35","Grand St & Elizabeth St",40.718822,-73.99596,3435
"36","E 47 St & Park Ave",40.75510267,-73.97498696,359
"37","W 15 St & 7 Ave",40.73935542,-73.99931783,482
"38","Vesey Pl & River Terrace",40.7153379,-74.01658354,327
"39","11 Ave & W 27 St",40.751396,-74.005226,458
"40","North Moore St & Greenwich St",40.72019521,-74.01030064,3664
"41","Little West St & 1 Pl",40.70569254,-74.01677685,2008
"42","Great Jones St",40.72743423,-73.99379025,229
"43","Pier 40 - Hudson River Park",40.72771408,-74.01129574,3256
"44","St Marks Pl & 1 Ave",40.72779126,-73.98564945,438
"45","E 10 St & Avenue A",40.72740794,-73.98142006,445
"46","MacDougal St & Prince St",40.72710258,-74.00297088,128
"47","E 32 St & Park Ave",40.7457121,-73.98194829,472
"48","E 7 St & Avenue A",40.72621788,-73.98379855,432
"49","W 24 St & 7 Ave",40.74487634,-73.99529885,446
"50","W 34 St & 11 Ave",40.75594159,-74.0021163,525
"51","Broadway & W 37 St",40.75172632,-73.98753523,362
"52","Broadway & W 53 St",40.76344058,-73.98268129,469
"53","W 52 St & 6 Ave",40.76132983,-73.97982001,3443
"54","Gansevoort St & Hudson St",40.7394482,-74.00507033,3686
"55","Broadway & W 41 St",40.75513557,-73.98658032,465
"56","Greenwich St & W Houston St",40.728846,-74.008591,347
"57","E 16 St & 5 Ave",40.73726186,-73.99238967,496
"58","Lafayette St & Jersey St",40.72430527,-73.99600983,3427
"59","Broadway & W 49 St",40.76068327,-73.98452729,173
"60","Canal St & Rutgers St",40.71427487,-73.98990025,307
"61","Barrow St & Hudson St",40.73172428,-74.00674436,127
"62","W 4 St & 7 Ave S",40.73401143,-74.00293877,380
"63","Allen St & Stanton St",40.722055,-73.989111,312
"64","W 26 St & 8 Ave",40.74734825,-73.99723551,494
"65","FDR Drive & E 35 St",40.744219,-73.97121214,501
"66","W 27 St & 7 Ave",40.746647,-73.993915,442
"67","1 Ave & E 18 St",40.73381219,-73.98054421,2003
"68","7 Ave & Central Park South",40.76674056,-73.97906899,3724
"69","1 Ave & E 68 St",40.76500525,-73.95818491,3141
"70","5 Ave & E 29 St",40.7451677,-73.98683077,474
"71","E 39 St & 2 Ave",40.74780373,-73.9734419,518
"72","E 20 St & 2 Ave",40.73587678,-73.98205027,461
"73","W 16 St & The High Line",40.74334935,-74.00681753,212
"74","Columbus Ave & W 72 St",40.7770575,-73.97898475,3164
"75","Grand Army Plaza & Central Park S",40.7643971,-73.97371465,281
"76","W 17 St & 8 Ave",40.74177603,-74.00149746,116
"77","9 Ave & W 45 St",40.76019252,-73.9912551,479
"78","Lexington Ave & E 26 St",40.741459,-73.983293,3707
"79","E 15 St & 3 Ave",40.734232,-73.986923,297
"80","E 23 St & 1 Ave",40.736502,-73.97809472,545
"81","E 33 St & 1 Ave",40.74322681,-73.97449784,3687
"82","Central Park West & W 72 St",40.77579377,-73.97620574,3165
"83","E 25 St & 2 Ave",40.73912601,-73.97973776,507
"84","11 Ave & W 59 St",40.77149671,-73.99046034,530
"85","E 11 St & 1 Ave",40.72953837,-73.98426726,326
"86","W 13 St & 7 Ave",40.73781509,-73.99994661,223
"87","W 27 St & 10 Ave",40.75018156,-74.00218427,3258
"88","E 48 St & 5 Ave",40.75724568,-73.97805914,3233
"89","Mercer St & Bleecker St",40.72706363,-73.99662137,3260
"90","Central Park West & W 68 St",40.7734066,-73.97782542,3163
"91","8 Ave & W 52 St",40.76370739,-73.9851615,447
"92","W 20 St & 8 Ave",40.74345335,-74.00004031,470
"93","E 4 St & 2 Ave",40.7262807,-73.98978041,439
"94","11 Ave & W 41 St",40.76030096,-73.99884222,478
"95","2 Ave & E 31 St",40.74290902,-73.97706058,528
"96","W 26 St & 10 Ave",40.74971775,-74.00295035,388
"97","Forsyth St & Broome St",40.71893904,-73.99266288,531
"98","E 2 St & Avenue B",40.72217444,-73.98368779,301
"99","South St & Gouverneur Ln",40.70355377,-74.00670227,315
"100","E 2 St & Avenue A",40.72307749,-73.98583621,3656
"101","E 20 St & FDR Drive",40.73314259,-73.97573881,487
"102","Mott St & Prince St",40.72317958,-73.99480012,251
"103","St Marks Pl & 2 Ave",40.7284186,-73.98713956,236
"104","6 Ave & Canal St",40.72243797,-74.00566443,377
"105","E 20 St & Park Ave",40.73827428,-73.98751968,503
"106","E 31 St & 3 Ave",40.74394314,-73.97966069,476
"107","Clinton St & Grand St",40.71559509,-73.9870295,350
"108","Allen St & Rivington St",40.72019576,-73.98997825,401
"109","W 52 St & 5 Ave",40.75992262,-73.97648516,520
"110","E 2 St & 2 Ave",40.72502876,-73.99069656,403
"111","E 39 St & 3 Ave",40.7489006,-73.97604882,167
"112","1 Ave & E 78 St",40.77140426,-73.9535166,3140
"113","Mercer St & Spring St",40.72362738,-73.99949601,303
"114","W 43 St & 10 Ave",40.76009437,-73.99461843,515
"115","W Broadway & Spring Street",40.72494672,-74.00165856,3467
"116","E 6 St & Avenue B",40.72453734,-73.98185424,317
"117","Amsterdam Ave & W 73 St",40.77966809,-73.98093045,3167
"118","Allen St & Hester St",40.71605866,-73.99190759,361
"119","6 Ave & Broome St",40.72430832,-74.00473036,3746
