"","id","name","latitude","longitude","n"
"1",426,"West St & Chambers St",40.71754834,-74.01322069,5846
"2",3002,"South End Ave & Liberty St",40.711512,-74.015756,4608
"3",151,"Cleveland Pl & Spring St",40.72210379,-73.99724901,3746
"4",3435,"Grand St & Elizabeth St",40.718822,-73.99596,3543
"5",327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,3468
"6",3664,"North Moore St & Greenwich St",40.72019521,-74.01030064,3433
"7",2008,"Little West St & 1 Pl",40.70569254,-74.01677685,3393
"8",229,"Great Jones St",40.72743423,-73.99379025,3377
"9",3256,"Pier 40 - Hudson River Park",40.72771408,-74.01129574,3340
"10",438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,3331
"11",445,"E 10 St & Avenue A",40.72740794,-73.98142006,3312
"12",128,"MacDougal St & Prince St",40.72710258,-74.00297088,3304
"13",432,"E 7 St & Avenue A",40.72621788,-73.98379855,3258
"14",3427,"Lafayette St & Jersey St",40.72430527,-73.99600983,3042
"15",307,"Canal St & Rutgers St",40.71427487,-73.98990025,2980
"16",312,"Allen St & Stanton St",40.722055,-73.989111,2923
"17",3260,"Mercer St & Bleecker St",40.72706363,-73.99662137,2683
"18",439,"E 4 St & 2 Ave",40.7262807,-73.98978041,2626
"19",531,"Forsyth St & Broome St",40.71893904,-73.99266288,2594
"20",301,"E 2 St & Avenue B",40.72217444,-73.98368779,2593
"21",315,"South St & Gouverneur Ln",40.70355377,-74.00670227,2579
"22",3656,"E 2 St & Avenue A",40.72307749,-73.98583621,2579
"23",251,"Mott St & Prince St",40.72317958,-73.99480012,2562
"24",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,2558
"25",377,"6 Ave & Canal St",40.72243797,-74.00566443,2548
"26",350,"Clinton St & Grand St",40.71559509,-73.9870295,2521
"27",401,"Allen St & Rivington St",40.72019576,-73.98997825,2503
"28",403,"E 2 St & 2 Ave",40.72502876,-73.99069656,2411
"29",303,"Mercer St & Spring St",40.72362738,-73.99949601,2405
"30",3467,"W Broadway & Spring Street",40.72494672,-74.00165856,2392
"31",317,"E 6 St & Avenue B",40.72453734,-73.98185424,2377
"32",361,"Allen St & Hester St",40.71605866,-73.99190759,2358
"33",3746,"6 Ave & Broome St",40.72430832,-74.00473036,2342
"34",394,"E 9 St & Avenue C",40.72521311,-73.97768752,2296
"35",304,"Broadway & Battery Pl",40.70463334,-74.01361706,2177
"36",257,"Lispenard St & Broadway",40.71939226,-74.00247214,2167
"37",328,"Watts St & Greenwich St",40.72405549,-74.00965965,2153
"38",3016,"Kent Ave & N 7 St",40.72036775,-73.96165073,2134
"39",265,"Stanton St & Chrystie St",40.72229346,-73.99147535,2121
"40",539,"Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,2099
"41",532,"S 5 Pl & S 5 St",40.710451,-73.960876,2093
"42",3718,"E 11 St & Avenue B",40.72746421,-73.97950418,2091
"43",268,"Howard St & Centre St",40.71910537,-73.99973337,2070
"44",311,"Norfolk St & Broome St",40.7172274,-73.98802084,2058
"45",3461,"Murray St & Greenwich St",40.71485151,-74.01122332,2058
"46",319,"Fulton St & Broadway",40.711066,-74.009447,2045
"47",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939,2039
"48",410,"Suffolk St & Stanton St",40.72066442,-73.98517977,1940
"49",195,"Liberty St & Broadway",40.70905623,-74.01043382,1924
"50",460,"S 4 St & Wythe Ave",40.71285887,-73.96590294,1906
"51",417,"Barclay St & Church St",40.71291224,-74.01020234,1834
"52",387,"Centre St & Chambers St",40.71273266,-74.0046073,1820
"53",412,"Forsyth St & Canal St",40.7158155,-73.99422366,1793
