"","weekday","starttime","n","weekday_no"
"1","Fri",0,979,5
"2","Fri",1,441,5
"3","Fri",2,239,5
"4","Fri",3,163,5
"5","Fri",4,186,5
"6","Fri",5,863,5
"7","Fri",6,2789,5
"8","Fri",7,5930,5
"9","Fri",8,10361,5
"10","Fri",9,7619,5
"11","Fri",10,4597,5
"12","Fri",11,4669,5
"13","Fri",12,5535,5
"14","Fri",13,6069,5
"15","Fri",14,6528,5
"16","Fri",15,7273,5
"17","Fri",16,9414,5
"18","Fri",17,11932,5
"19","Fri",18,9645,5
"20","Fri",19,6792,5
"21","Fri",20,4868,5
"22","Fri",21,3418,5
"23","Fri",22,2415,5
"24","Fri",23,1899,5
"25","Mon",0,565,1
"26","Mon",1,264,1
"27","Mon",2,152,1
"28","Mon",3,94,1
"29","Mon",4,182,1
"30","Mon",5,939,1
"31","Mon",6,3110,1
"32","Mon",7,6288,1
"33","Mon",8,8680,1
"34","Mon",9,6039,1
"35","Mon",10,3384,1
"36","Mon",11,2265,1
"37","Mon",12,2639,1
"38","Mon",13,2734,1
"39","Mon",14,2863,1
"40","Mon",15,3407,1
"41","Mon",16,5009,1
"42","Mon",17,9240,1
"43","Mon",18,8870,1
"44","Mon",19,6349,1
"45","Mon",20,4212,1
"46","Mon",21,2678,1
"47","Mon",22,1760,1
"48","Mon",23,1025,1
"49","Sat",0,2074,6
"50","Sat",1,1310,6
"51","Sat",2,868,6
"52","Sat",3,475,6
"53","Sat",4,343,6
"54","Sat",5,398,6
"55","Sat",6,1082,6
"56","Sat",7,2379,6
"57","Sat",8,4182,6
"58","Sat",9,6278,6
"59","Sat",10,7926,6
"60","Sat",11,9435,6
"61","Sat",12,7062,6
"62","Sat",13,7426,6
"63","Sat",14,7402,6
"64","Sat",15,7048,6
"65","Sat",16,6800,6
"66","Sat",17,6949,6
"67","Sat",18,6278,6
"68","Sat",19,5493,6
"69","Sat",20,4037,6
"70","Sat",21,2846,6
"71","Sat",22,2361,6
"72","Sat",23,1909,6
"73","Sun",0,1388,7
"74","Sun",1,935,7
"75","Sun",2,586,7
"76","Sun",3,381,7
"77","Sun",4,229,7
"78","Sun",5,181,7
"79","Sun",6,526,7
"80","Sun",7,1223,7
"81","Sun",8,2248,7
"82","Sun",9,3499,7
"83","Sun",10,4887,7
"84","Sun",11,6013,7
"85","Sun",12,6736,7
"86","Sun",13,7247,7
"87","Sun",14,7150,7
"88","Sun",15,7145,7
"89","Sun",16,7617,7
"90","Sun",17,6397,7
"91","Sun",18,6200,7
"92","Sun",19,5518,7
"93","Sun",20,3960,7
"94","Sun",21,2350,7
"95","Sun",22,1358,7
"96","Sun",23,991,7
"97","Thu",0,748,4
"98","Thu",1,268,4
"99","Thu",2,146,4
"100","Thu",3,88,4
"101","Thu",4,192,4
"102","Thu",5,852,4
"103","Thu",6,3111,4
"104","Thu",7,5633,4
"105","Thu",8,7056,4
"106","Thu",9,4506,4
"107","Thu",10,2421,4
"108","Thu",11,2512,4
"109","Thu",12,3349,4
"110","Thu",13,4557,4
"111","Thu",14,5156,4
"112","Thu",15,5728,4
"113","Thu",16,7384,4
"114","Thu",17,11488,4
"115","Thu",18,10655,4
"116","Thu",19,7225,4
"117","Thu",20,5086,4
"118","Thu",21,2715,4
"119","Thu",22,1818,4
"120","Thu",23,1382,4
"121","Tue",0,514,2
"122","Tue",1,270,2
"123","Tue",2,128,2
"124","Tue",3,88,2
"125","Tue",4,185,2
"126","Tue",5,707,2
"127","Tue",6,2685,2
"128","Tue",7,6064,2
"129","Tue",8,10607,2
"130","Tue",9,7531,2
"131","Tue",10,4148,2
"132","Tue",11,3997,2
"133","Tue",12,4843,2
"134","Tue",13,5129,2
"135","Tue",14,5394,2
"136","Tue",15,5645,2
"137","Tue",16,7753,2
"138","Tue",17,13803,2
"139","Tue",18,13466,2
"140","Tue",19,8868,2
"141","Tue",20,6085,2
"142","Tue",21,4186,2
"143","Tue",22,2647,2
"144","Tue",23,1510,2
"145","Wed",0,709,3
"146","Wed",1,325,3
"147","Wed",2,164,3
"148","Wed",3,104,3
"149","Wed",4,220,3
"150","Wed",5,1020,3
"151","Wed",6,3530,3
"152","Wed",7,6922,3
"153","Wed",8,11773,3
"154","Wed",9,8059,3
"155","Wed",10,4305,3
"156","Wed",11,4333,3
"157","Wed",12,5075,3
"158","Wed",13,5406,3
"159","Wed",14,5551,3
"160","Wed",15,5971,3
"161","Wed",16,7805,3
"162","Wed",17,13463,3
"163","Wed",18,12221,3
"164","Wed",19,8118,3
"165","Wed",20,5341,3
"166","Wed",21,3675,3
"167","Wed",22,2652,3
"168","Wed",23,1501,3
